일련번호,발령일,발령시간,발령지역,발령권역,농도,해제날짜,해제시간
1,2024-06-25,01:00,경남,거창권역,157,2024-06-25,03:00
2,2024-06-25,02:00,대구,대구권역,180,2024-06-25,05:00
3,2024-06-24,16:00,강원,영서남부,175,2024-06-25,00:00
4,2024-06-24,19:00,강원,영서북부,170,2024-06-25,00:00
5,2024-05-12,12:00,대구,군위권역,313,2024-05-12,16:00
6,2024-05-12,14:00,경남,합천권역,175,2024-05-12,17:00
7,2024-05-12,10:00,광주,광주권역,187,2024-05-12,15:00
8,2024-05-12,10:00,대구,군위권역,263,2024-05-12,12:00
9,2024-05-12,12:00,충북,남부권역,258,2024-05-12,17:00
10,2024-05-12,10:00,대구,대구권역,248,2024-05-12,17:00
11,2024-05-12,11:00,충남,동남부권역,201,2024-05-12,15:00
12,2024-05-12,13:00,경북,동부권역,169,2024-05-12,19:00
13,2024-05-12,12:00,대전,동부권역,206,2024-05-12,16:00
14,2024-05-12,10:00,전북,동부권역,241,2024-05-12,17:00
15,2024-05-12,12:00,경남,밀양권역,197,2024-05-12,17:00
16,2024-05-12,12:00,충남,북부권역,179,2024-05-12,18:00
17,2024-05-12,12:00,충북,북부권역,200,2024-05-12,15:00
18,2024-05-12,10:00,전남,서부권,222,2024-05-12,17:00
19,2024-05-12,09:00,경북,서부권역,196,2024-05-12,17:00
20,2024-05-12,12:00,대전,서부권역,197,2024-05-12,15:00
21,2024-05-12,11:00,전북,서부권역,186,2024-05-12,18:00
22,2024-05-12,12:00,세종,세종권역,190,2024-05-12,15:00
23,2024-05-12,11:00,강원,영동남부,176,2024-05-12,15:00
24,2024-05-12,06:00,강원,영동북부,248,2024-05-12,12:00
25,2024-05-12,12:00,강원,영서남부,173,2024-05-12,14:00
26,2024-05-12,12:00,인천,영종·영흥권역,151,2024-05-12,16:00
27,2024-05-12,14:00,경북,울릉권역,182,2024-05-12,17:00
28,2024-05-12,12:00,제주,제주권역,187,2024-05-12,19:00
29,2024-05-12,11:00,전남,중부권,202,2024-05-12,16:00
30,2024-05-12,11:00,전북,중부권역,250,2024-05-12,16:00
31,2024-05-12,12:00,충북,중부권역,204,2024-05-12,15:00
32,2024-05-12,11:00,경남,창녕권역,181,2024-05-12,17:00
33,2024-05-12,16:00,경남,창원권역,163,2024-05-12,20:00
34,2024-05-12,12:00,경남,함안권역,185,2024-05-12,19:00
35,2024-05-12,10:00,경남,함양권역,222,2024-05-12,19:00
36,2024-05-12,09:00,경남,거창권역,190,2024-05-12,16:00
37,2024-04-20,06:00,경북,울릉권역,165,2024-04-21,01:00
38,2024-04-19,12:00,경남,김해권역,137,2024-04-20,00:00
39,2024-04-19,20:00,부산,남부권역,148,2024-04-20,05:00
40,2024-04-19,10:00,경북,동부권역,140,2024-04-19,12:00
41,2024-04-19,13:00,부산,동부권역,146,2024-04-20,01:00
42,2024-04-19,21:00,부산,서부권역,144,2024-04-20,05:00
43,2024-04-19,14:00,경남,양산권역,136,2024-04-20,02:00
44,2024-04-19,01:00,강원,영동남부,129,2024-04-19,03:00
45,2024-04-19,15:00,강원,영동북부,184,2024-04-19,22:00
46,2024-04-19,15:00,경북,울릉권역,148,2024-04-19,22:00
47,2024-04-19,12:00,울산,울산권역,148,2024-04-20,15:00
48,2024-04-19,14:00,부산,중부권역,129,2024-04-20,03:00
49,2024-04-19,13:00,경남,창원권역,141,2024-04-19,22:00
50,2024-04-19,18:00,경남,통영권역,144,2024-04-20,04:00
51,2024-04-19,17:00,경남,거제권역,134,2024-04-19,21:00
52,2024-04-19,13:00,경남,고성권역,137,2024-04-19,22:00
53,2024-04-18,10:00,경남,고성권역,159,2024-04-18,19:00
54,2024-04-18,22:00,대구,군위권역,230,2024-04-19,11:00
55,2024-04-18,13:00,경남,남해권역,176,2024-04-19,14:00
56,2024-04-18,21:00,대구,대구권역,254,2024-04-19,12:00
57,2024-04-18,12:00,인천,동남부권역,162,2024-04-18,16:00
58,2024-04-18,13:00,전남,동부권,162,2024-04-19,08:00
59,2024-04-18,12:00,경기,북부권,156,2024-04-18,16:00
60,2024-04-18,12:00,경남,사천권역,162,2024-04-19,18:00
61,2024-04-18,11:00,인천,서부권역,162,2024-04-18,17:00
62,2024-04-19,00:00,강원,영동북부,126,2024-04-19,02:00
63,2024-04-18,11:00,인천,영종·영흥권역,167,2024-04-18,15:00
64,2024-04-18,12:00,경남,의령권역,188,2024-04-19,15:00
65,2024-04-18,11:00,전북,중부권역,189,2024-04-18,21:00
66,2024-04-18,13:00,경남,진주권역,165,2024-04-19,23:00
67,2024-04-18,21:00,경남,창녕권역,268,2024-04-19,13:00
68,2024-04-18,14:00,경남,하동권역,155,2024-04-19,08:00
69,2024-04-18,11:00,경남,함안권역,174,2024-04-18,20:00
70,2024-04-18,12:00,경남,합천권역,217,2024-04-19,13:00
71,2024-04-18,17:00,경남,거제권역,340,2024-04-19,17:00
72,2024-04-18,19:00,경남,고성권역,339,2024-04-19,13:00
73,2024-04-18,19:00,경남,김해권역,315,2024-04-19,12:00
74,2024-04-18,17:00,경남,양산권역,318,2024-04-19,14:00
75,2024-04-18,19:00,경남,창원권역,311,2024-04-19,13:00
76,2024-04-18,18:00,경남,통영권역,306,2024-04-19,18:00
77,2024-04-18,20:00,경남,함안권역,300,2024-04-19,13:00
78,2024-04-18,11:00,경남,거창권역,165,2024-04-18,18:00
79,2024-04-17,16:00,부산,남부권역,306,2024-04-19,20:00
80,2024-04-17,12:00,경남,합천권역,213,2024-04-18,04:00
81,2024-04-17,15:00,부산,동부권역,362,2024-04-19,13:00
82,2024-04-17,20:00,부산,서부권역,318,2024-04-19,21:00
