aptNm,buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,preDeposit,preMonthlyRent,sggCd,umdNm,useRRRight
검단한신더휴어반파크,2023,, ,18,10,2024,"18,400",84.9744,15,1274,33,,,28260,당하동, 
검단신도시모아미래도엘리트파크,2022,, ,31,10,2024,"36,000",84.6561,11,1318-8,0,,,28260,당하동, 
청라호수공원한신더휴,2020,, ,22,10,2024,"30,000",84.9613,12,103-15,0,,,28260,청라동, 
검단한신더휴어반파크,2023,, ,4,10,2024,"4,600",74.7155,26,1274,51,,,28260,당하동, 
루원제일풍경채,2018,, ,19,10,2024,"10,000",74.7683,15,603-1,100,,,28260,가정동, 
"유호D단지(D1,D2동)",1992,, ,22,10,2024,"1,000",59.64,4,995-3,45,,,28260,마전동, 
청라29블럭호반베르디움,2012,, ,17,10,2024,"27,300",84.9382,3,173-1,0,,,28260,청라동, 
검단신도시모아미래도엘리트파크,2022,, ,5,10,2024,"8,400",84.6561,2,1318-8,100,,,28260,당하동, 
낙원,1989,, ,12,10,2024,"7,000",49.14,6,468-3,0,,,28260,석남동, 
우미린더헤리티지,2022,, ,24,10,2024,"35,000",84.8707,16,1065-2,0,,,28260,원당동, 
검단2차우방아이유쉘,2018,, ,26,10,2024,"3,000",59.9375,3,1123-1,115,,,28260,마전동, 
뉴서울(284-401),1990,, ,31,10,2024,"12,000",70.12,1,284-401,0,,,28260,가정동, 
검단신도시한신더휴캐널파크(THEHUECANALPARK),2021,, ,19,10,2024,"36,000",84.1588,15,1254-1,0,,,28260,당하동, 
청라국제업무단지센텀대광로제비앙,2018,, ,29,10,2024,"41,000",82.8228,16,83-1,0,,,28260,청라동, 
청라한양수자인,2011,, ,21,10,2024,"40,000",120.207,22,102-2,0,,,28260,청라동, 
검단힐스테이트4차,2012,, ,31,10,2024,"32,000",107.4423,3,1090-1,0,,,28260,당하동, 
마전금호어울림,2007,, ,22,10,2024,"18,000",79.7463,4,1148-1,0,,,28260,마전동, 
청라제일풍경채2차에듀앤파크,2017,, ,18,10,2024,"35,000",84.939,20,149-2,0,,,28260,청라동, 
청라29블럭호반베르디움,2012,, ,12,10,2024,"31,000",84.9482,28,173-1,0,,,28260,청라동, 
청라국제금융단지한양수자인레이크블루,2019,, ,26,10,2024,"35,000",59.7588,17,85-1,0,,,28260,청라동, 
검단2차우방아이유쉘,2018,, ,4,10,2024,"2,000",59.9375,7,1123-1,100,,,28260,마전동, 
검단신도시모아미래도엘리트파크,2022,, ,12,10,2024,"26,775",84.6561,20,1318-8,0,,,28260,당하동, 
청라 엑슬루타워,2011,, ,15,10,2024,"41,000",150.28,3,164-1,50,,,28260,청라동, 
청라롯데캐슬,2013,, ,26,10,2024,"48,000",125.6244,34,159-1,0,,,28260,청라동, 
원당풍림아이원,2004,, ,11,10,2024,"2,000",59.832,11,1031,95,,,28260,당하동, 
한신휴플러스,2007,, ,21,10,2024,"17,277",59.99,9,7,0,,,28260,가좌동, 
검단2차우방아이유쉘,2018,, ,19,10,2024,"26,000",59.9375,10,1123-1,0,,,28260,마전동, 
삼성,1997,, ,3,10,2024,"21,600",59.901,15,330-1,0,,,28260,심곡동, 
검단 금호어울림 센트럴,2021,, ,19,10,2024,"8,000",74.84,14,1024,130,,,28260,원당동, 
태화,1990,, ,16,10,2024,"11,000",62.55,2,109-55,0,,,28260,석남동, 
검단신안인스빌어반퍼스트,2022,, ,14,10,2024,"31,000",84.7322,7,1314,0,,,28260,당하동, 
청라호수공원한신더휴,2020,, ,15,10,2024,"39,900",84.9613,12,103-15,0,,,28260,청라동, 
공작,1990,, ,14,10,2024,"6,000",46.61,6,2-19,0,,,28260,가좌동, 
파라곤센트럴파크,2022,, ,15,10,2024,"30,000",84.986,11,1276-2,0,,,28260,당하동, 
검단신도시예미지트리플에듀,2022,, ,12,10,2024,"31,500",76.357,22,1014,0,,,28260,원당동, 
중앙,1997,, ,14,10,2024,"18,900",59.9925,2,682,0,,,28260,연희동, 
검단 금호어울림 센트럴,2021,, ,12,10,2024,"39,000",84.52,4,1024,0,,,28260,원당동, 
우미린더헤리티지,2022,, ,12,10,2024,"21,000",59.8229,22,1065-2,0,,,28260,원당동, 
청라호수공원한신더휴,2020,, ,9,10,2024,"38,000",84.9613,14,103-15,0,,,28260,청라동, 
청라국제금융단지한양수자인레이크블루,2019,, ,9,10,2024,"30,000",84.3477,17,85-1,0,,,28260,청라동, 
청라국제금융단지한양수자인레이크블루,2019,, ,7,10,2024,"38,325",84.6444,17,85-1,0,,,28260,청라동, 
하나2,1992,, ,7,10,2024,"13,000",57.78,4,341-14,0,,,28260,가정동, 
호반써밋1차,2021,, ,5,10,2024,"37,800",84.8917,12,1022,0,,,28260,원당동, 
청라센트럴에일린의뜰,2018,, ,5,10,2024,"5,000",84.9834,32,156-1,147,,,28260,청라동, 
효정(489),1989,, ,5,10,2024,"10,000",54.3,5,489,0,,,28260,석남동, 
검단신도시모아엘가그랑데,2023,, ,1,10,2024,"30,000",59.5224,8,1063,0,,,28260,원당동, 
호반베르디움(116-6),2011,24.12~26.12,신규,17,10,2024,"5,000",84.9925,5,116-6,140,,,28260,청라동, 
한일베라체,2011,24.11~26.11,신규,18,10,2024,"10,000",139.687,10,155-9,180,,,28260,청라동, 
청라골드클래스커낼웨이,2016,24.11~24.12,신규,26,10,2024,"1,000",82.9214,12,165-7,150,,,28260,청라동, 
